course,classroom,slot,weekday
"DSO-401,16212",JKP112,8am,Tue
"DSO-401,16214",JKP112,10am,Tue
"DSO-401,16215",JKP112,12pm,Fri
"DSO-401,16218",JKP112,12pm,Mon
"DSO-401,16219",JKP112,8pm,Mon
"DSO-402,16220",JKP112,8pm,Tue
"DSO-427,16222",JKP112,4pm,Mon
"DSO-427,16222",JKP112,6pm,Fri
"DSO-435,16230",JKP112,2pm,Tue
"DSO-435,16230",JKP112,4pm,Fri
"ACCT-430,14144",JKP112,8am,Mon
"ACCT-430,14144",JKP112,2pm,Fri
"ACCT-430,14146",JKP112,10am,Fri
"ACCT-430,14146",JKP112,6pm,Tue
"ACCT-581,14269",JKP112,2pm,Mon
"ACCT-581,14269",JKP112,4pm,Tue
"ACCT-550T,14230",JKP112,6pm,Mon
"ACCT-550T,14230",JKP112,6pm,Wed
"BAEP-452,14381",JKP112,10am,Mon
"BAEP-452,14381",JKP112,8pm,Fri
"BAEP-452,14382",JKP112,8am,Fri
"BAEP-452,14382",JKP112,12pm,Tue
