company,position,location,job_url
Salusive Health,Software Development / Data Science Internship,Palo Alto,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFxIS1rdwyoyDW9HDHrJ8aMAkXZVAFuf-BEsaItvg4XlmRrLbrXi1vGR3ARjLGC5aiZ5hYO_OwZi6jJHQZaTUrDONdMnDkPVBUnDoyFaGCYIF6pmdXZi0daSnxdRs-ujxRn3ZcdWVokAtaaEr1li-35KuoO5N7pRpNSx0ReUPcZmpUaY1ukYGSy1R_6lMTeqB-h5FaJARTw52WuwBn5LD5BiA3JH84CtCvgxCZMB8hTy4ou84Skes07aixaGk6pWuKDWveuyjCt651E4wo4pNFSSLgwD0mnQM4-OP7srFj0zKbNkvJlo0dUWBrQROpSooSHqqSnM7m7-gKctm5qsMp7XMURdS1RD2SrEMJqUllyABuz_96taHHQGz119ywpSVKnhluM4IQR6sV7r_NN3UDRJVu2ALm88RVNhTYusur_HKHxXwKg_3mcMhsbKYHydsZwTRN6dDXdw14vG3hF_ZngEHQ078-J6I=&p=0&fvj=1&vjs=3
SoFi,Data Science Intern,San Francisco,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTa9d1iniNsk1m6EIYrRPQjmQJr7RPQ2fdDV0zpPfAVN7qX1S-j4fCp6OA5nMA2pVk8LpOJwlAOe75B3ze7c0I81VUq1dzWFO6OCDOu13GoJGvjIjl07QSA34UBTM6gFrmNTutCukKwuMKPMHzL-aGMGwJdviZql8D266g-6E5EILxY0IMpS8Mg7Ok2IoNCKdfzXpdKWP_6cq5N_DEwmwysxgC8WfCM-ImnW8026VTz_4sw1BDje3AeHyLohlRIJiNZKh6THPh8N1ymAJ8VWE_yUMhOmWf7-NvsavLe_UTrt4Revsb8YjwqMfPy8cOYTSAxwKWcXblO9DHh9ejvvbhp4dGwQ6H5_gev0RBilBqq3E-Dr8bdhhj_Pr9sy1yVXpXhq8NaH6j2PvxZhPoez4bfF8ZTZUVGT6dV4_gEJsh4BE7G_q9N5KmcF8W44kYT6pY7fkjibxQJ1WHKohr9zOdOxjQhay9kgpy3-n2LcxLyLoxuih1P7ETVlh-OMtpxhjSkLMDzIdaBCxhxFQYMwJ4zDo1iU4kq1uKPRuZeg6epA==&p=1&fvj=0&vjs=3
Esurance,Data Science Intern,San Francisco,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpEySwn2KFvxS4RUwjFxBw5RjoWubbRjmSPJ6eWtrYpbibnxbgJ__N5_JY8dDhb21exXpj1oV8xoj30kiG3J8s3F6tqgTAFyuQfLwi7D5wcUAX5X-d9og8YsNSBIccjFL_c8AiT88f7GZlRQkPIhA04EbfCxVptQZvvspKoiDR_1edh4WnKbBgYLWS8ozGLHedLmb9Fw78_QryMQ30WdkimlEHddkx2glDOS3z8tLZLcuAEpf57RW4pGHryUXprg48fuaxsHgj0br0kBLFrEXmVRsqMifCMun7cNg8P2-C9bINlk06jDr4ikn2yItXBpZjiwktAxnpomFEkRcYVLlQAr67l8G_27IH3iu5ciwtX3Vo=&p=2&fvj=0&vjs=3
GoGuardian,Data Infrastructure Engineer,El Segundo,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AbcLYJH6EEU2hhfUhIe4V-wtZUPXOEfJh72XLwlGjJwXW5GoFa_FpEXJxkLhR8NzRSjtg7TAa7nfpPIIgXu8WmcUUJftwi6NsQGAHgTYgJBjNADRsYk78P1Vmad0-n2HRIiyCAR0JC2fMNFGh6SPHabU7gMuAwhEyB9TDKDk_277S86g8MEyRUUtpLmuN5Byw2MfRJO_1RC_bGJS_qLcggPXuiKtR5Yg04lWu2omUUOrfyfo0vVhRvpa7lFeF0vc2ey8msfv0FsurtLattPCr_NREC77UPf5COscc79ENHa7QG6bv-VMXYOzoWI2Wg3IC7PWIfh0KphID0CcWV2GeHkgtJwSY3tKmePseiEWlIzTn9RseB8Ul0aW23zKue3WVTfbvhOxxsMd-nnRCbSdgn9d98eg6SGx4=&p=3&fvj=0&vjs=3
Ticketmaster,"Intern, Data Science (Summer 2020)",Hollywood,https://www.indeed.com/rc/clk?jk=6eecb3d1932cd55e&fccid=31696df7c99497fd&vjs=3
Retina AI,Data Science Intern,Santa Monica,https://www.indeed.com/rc/clk?jk=c8027d26e43b6dd9&fccid=6c77b12b3695d0e0&vjs=3
"Sony Pictures Entertainment, Inc.","Business Intelligence Data Science Intern, Motion Pictures F...",Culver City,https://www.indeed.com/rc/clk?jk=2cb0b85c7e6e7432&fccid=87296c430fc584e1&vjs=3
IDEAS - International Data Engineering And Science...,Academic Coordinator Intern (Data Science),Monterey,https://www.indeed.com/company/IDEAS---International-Data-Engineering-And-Science-Association/jobs/Academic-Coordinator-Intern-aab8494f739c59c2?fccid=3cf3e95b0ba18ff6&vjs=3
Poshmark,Data Science Internship (Summer 2020),Redwood City,https://www.indeed.com/rc/clk?jk=6e81a1bfd22f52dc&fccid=0f4f2d112db7d324&vjs=3
HP,Data Scientist Intern - Pricing Strategy and Analytics,San Diego,https://www.indeed.com/rc/clk?jk=6529272a2a3f4c1c&fccid=1b866506aec22461&vjs=3
