,KS,FDR,KS rank,FDR rank,Average rank
fraud_label,1.0,1.0,291.0,291.0,291.0
address_lag30_count,0.3327247807054462,0.35329966916245864,290.0,289.0,289.5
addr_lag30_count,0.3320320113132572,0.3549538568692321,289.0,290.0,289.5
address_#days_since,0.324626868452923,0.3480759185094898,288.0,287.0,287.5
addr_#days_since,0.3235427303450123,0.34938185617273204,287.0,288.0,287.5
address_lag14_count,0.3222521017094141,0.34581229322653667,286.0,286.0,286.0
addr_lag14_count,0.32175552193122436,0.3423297927912241,285.0,285.0,285.0
address_lag7_count,0.3014448829901788,0.3209994776249347,284.0,284.0,284.0
addr_lag7_count,0.30136793715839494,0.31995472749434095,283.0,283.0,283.0
addr_lag3_count,0.27848781462536976,0.297492599686575,282.0,281.0,281.5
address_lag3_count,0.2784452419898328,0.2990597248824656,281.0,282.0,281.5
address_lag1_count,0.24926744671502876,0.268936096117012,280.0,280.0,280.0
addr_lag1_count,0.24908347525452668,0.2677172209646526,279.0,279.0,279.0
addr-homephone_lag30_count,0.22895409759205776,0.2557025944628243,278.0,278.0,278.0
ssn-dob_lag30_count,0.22851212881305571,0.25474490684311335,277.0,277.0,277.0
name-dob_lag30_count,0.2276226326596994,0.25422253177781645,276.0,276.0,276.0
ssn_lag30_count,0.22702741981615648,0.25352603169075394,275.0,275.0,275.0
ssn-name-dob_lag30_count,0.22620200929798862,0.2523942190492774,274.0,274.0,274.0
addr-homephone_#days_since,0.2261672227406607,0.24830228103778512,273.0,270.0,271.5
ssn-firstname_lag30_count,0.22609872214244386,0.2523071565383946,272.0,273.0,272.5
ssn-lastname_lag30_count,0.22600910701576804,0.2521330315166289,271.0,272.0,271.5
ssn-name_lag30_count,0.22498705685339193,0.2516977189622149,270.0,271.0,270.5
ssn-dob_#days_since,0.2196368801583088,0.24333971791746473,269.0,268.0,268.5
name-dob_#days_since,0.21929017999659367,0.24325265540658192,268.0,267.0,267.5
addr-homephone_lag14_count,0.21890570441025137,0.24525509315688665,267.0,269.0,268.0
ssn_#days_since,0.21852448793157103,0.24264321783040224,266.0,266.0,266.0
address_lag1_lag30_avg,0.21839647756088376,0.17360264670033085,265.0,197.0,231.0
ssn-firstname_#days_since,0.21775487315878558,0.2417725927215741,264.0,265.0,264.5
ssn-name-dob_#days_since,0.2176354451419809,0.24142434267804283,263.0,263.0,263.0
ssn-lastname_#days_since,0.217486027778758,0.24116315514539438,262.0,262.0,262.0
ssn-name_#days_since,0.2166996389911,0.24081490510186312,261.0,261.0,261.0
addr_lag1_lag30_avg,0.21630387086894964,0.1835277729409716,260.0,214.0,237.0
name-dob_lag14_count,0.21531736087004394,0.24159846769980847,259.0,264.0,261.5
ssn-dob_lag14_count,0.21485752489167642,0.24029253003656625,258.0,260.0,259.0
ssn_lag14_count,0.2144340653551382,0.24020546752568345,257.0,259.0,258.0
name_lag30_count,0.21391626059663071,0.23977015497126938,256.0,257.0,256.5
ssn-firstname_lag14_count,0.21382225717538328,0.2393348424168553,255.0,255.0,255.0
ssn-name-dob_lag14_count,0.21351812964920514,0.2400313425039178,254.0,258.0,256.0
ssn-lastname_lag14_count,0.21339587877624488,0.23959602994950374,253.0,256.0,254.5
ssn-name_lag14_count,0.21300651330610532,0.23855127981890997,252.0,254.0,253.0
address_lag1_lag14_avg,0.21077078811821487,0.2374194671774334,251.0,253.0,252.0
addr_lag1_lag14_avg,0.20909243767836658,0.23524290440536305,250.0,252.0,251.0
name_#days_since,0.20525894101518052,0.21016890127111265,249.0,242.0,245.5
name_lag14_count,0.20448682407443297,0.21086540135817516,248.0,243.0,245.5
addr-homephone_lag7_count,0.199750943726127,0.22531777816472226,247.0,251.0,249.0
homephone_lag3_count,0.1949228225193329,0.2047710255963782,246.0,234.0,240.0
homephone_lag7_count,0.19419751894323267,0.20825352603169076,245.0,237.0,241.0
name-dob_lag7_count,0.19406243387542232,0.22009402751175344,244.0,250.0,247.0
ssn-dob_lag7_count,0.1931277197978487,0.2192234024029253,243.0,249.0,246.0
ssn_lag7_count,0.1930360087527031,0.2186139648267456,242.0,248.0,245.0
ssn-firstname_lag7_count,0.19267289860055115,0.21843983980497997,241.0,246.0,243.5
ssn-lastname_lag7_count,0.19259732286073694,0.21835277729409716,240.0,245.0,242.5
ssn-name-dob_lag7_count,0.1924605747924062,0.2185269023158628,239.0,247.0,243.0
ssn-name_lag7_count,0.1923578325623294,0.2180915897614487,238.0,244.0,241.0
homephone_lag14_count,0.18935707468701124,0.20181090022636253,237.0,233.0,235.0
name_lag7_count,0.18851944757100614,0.20964652620581578,236.0,239.0,237.5
