,mean,std,min,max,,Fraud Risk,
record,500000.5,288675.2789,1,1000000,,Monday ,0.013621
napps_s_1,144.603772,1264.195764,1,16935,,Tuesday,0.014335
napps_s_3,144.603772,1264.195764,1,16935,,Wednesday,0.015285
napps_s_7,144.603772,1264.195764,1,16935,,Thursday,0.014751
napps_s_14,144.603772,1264.195764,1,16935,,Friday,0.014516
napps_s_30,144.603772,1264.195764,1,16935,,Saturday,0.014621
v_ssn_3,0.333333333,1.09202E-12,0.333333333,0.333333333,,Sunday,0.013602
v_ssn_7,0.142857143,2.42584E-13,0.142857143,0.142857143,,,
v_ssn_14,0.071428571,1.21292E-13,0.071428571,0.071428571,,,
v_ssn_30,0.033333333,3.16761E-13,0.033333333,0.033333333,,,
ssn_diff,0,0,0,0,,,
napps_a_1,1.464917,10.44024091,1,688,,,
napps_a_3,1.464917,10.44024091,1,688,,,
napps_a_7,1.464917,10.44024091,1,688,,,
napps_a_14,1.464917,10.44024091,1,688,,,
napps_a_30,1.464917,10.44024091,1,688,,,
v_a_3,0.333333333,1.09202E-12,0.333333333,0.333333333,,,
v_a_7,0.142857143,2.42584E-13,0.142857143,0.142857143,,,
v_a_14,0.071428571,1.21292E-13,0.071428571,0.071428571,,,
v_a_30,0.033333333,3.16761E-13,0.033333333,0.033333333,,,
address_diff,0,0,0,0,,,
napps_ndob_1,1.217891,0.856049791,1,74,,,
napps_ndob_3,1.217891,0.856049791,1,74,,,
napps_ndob_7,1.217891,0.856049791,1,74,,,
napps_ndob_14,1.217891,0.856049791,1,74,,,
napps_ndob_30,1.217891,0.856049791,1,74,,,
v_ndob_3,0.333333333,1.09202E-12,0.333333333,0.333333333,,,
v_ndob_7,0.142857143,2.42584E-13,0.142857143,0.142857143,,,
v_ndob_14,0.071428571,1.21292E-13,0.071428571,0.071428571,,,
v_ndob_30,0.033333333,3.16761E-13,0.033333333,0.033333333,,,
ndob_diff,0,0,0,0,,,
napps_p_1,3105.422342,12315.84417,1,78512,,,
napps_p_3,3105.422342,12315.84417,1,78512,,,
napps_p_7,3105.422342,12315.84417,1,78512,,,
napps_p_14,3105.422342,12315.84417,1,78512,,,
