Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
Toutiao (Bytedance),$75 ,4/7/17,China,Digital Media/ AI,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
Uber,$72 ,8/23/13,USA,On-Demand,"Lowercase Capital,
	  Benchmark Capital, Google Ventures"
Didi Chuxing,$56 ,12/31/14,China,On-Demand,"Matrix Partners, Tiger
	  Global Management, Softbank Corp.,"
WeWork,$47 ,2/3/14,USA,Facilities,"T. Rowe Price, Benchmark
	  Capital, SoftBank Group"
JUUL Labs,$38 ,12/20/17,USA,Consumer Electronics,Tiger Global Management
Airbnb,$29.30 ,7/26/11,USA,eCommerce/Marketplace,"General Catalyst Partners,
	  Andreessen Horowitz, ENIAC Ventures"
Stripe,$22.50 ,1/23/14,USA,Fintech,"Khosla Ventures, Lowercase
	  Capital, capitalG"
SpaceX,$18.50 ,12/1/12,USA,Other Transportation,"Founders Fund, Draper
	  Fisher Jurvetson, Rothenberg Ventures"
Epic Games,$15 ,10/26/18,USA,Gaming,"Tencent Holdings, KKR, Smash Ventures"
GrabTaxi,$14 ,12/4/14,Singapore,On-Demand,"GGV Capital, Vertex Venture
	  Holdings, Softbank Group"
Bitmain Technologies,$12 ,7/6/18,China,Blockchain,"Coatue Management, Sequoia Capital China, IDG Capital"
Samumed,$12 ,8/6/18,USA,Biotechnology,"Vickers Venture Partners, IKEA GreenTech"
"Palantir
	  Technologies",$11 ,5/5/11,USA,Big Data,"RRE Ventures, Founders
	  Fund, In-Q-Tel"
Global Switch,$11.08 ,12/22/16,UK,Computer Hardware & Services,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Infor,$10 ,11/16/16,USA,Internet Software & Services,"Blackstone Group, Koch Industries"
"DJI
	  Innovations",$10 ,5/6/15,China,Hardware,"Accel Partners, Sequoia
	  Capital"
"One97
	  Communications (operates Paytm)",$10 ,5/12/15,India,Fintech,"Intel Capital, Sapphire
	  Ventures, Alibaba Group"
Go-Jek,$10 ,8/4/16,Indonesia,On-Demand,"Formation Group, Sequoia Capital India, Warburg Pincus"
Coupang,$9 ,5/28/14,South Korea,eCommerce/Marketplace,"Sequoia Capital, Founder
	  Collective, Wellington Management"
Guazi (Chehaoduo),$9 ,3/12/16,China,eCommerce/Marketplace,"Sequoia Capital China, GX Capital"
Coinbase,$8 ,8/10/17,USA,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth"
Instacart,$7.60 ,12/30/14,USA,On-Demand,"Khosla Ventures, Kleiner
	  Perkins Caufield & Byers, Collaborative Fund"
"Slack
	  Technologies",$7.10 ,10/31/14,USA,Internet Software & Services,"Google Ventures, Institutional Venture Partners, Index Ventures"
Snapdeal,$7 ,5/21/14,India,e-commerce,"SoftBankGroup, Blackrock, Alibaba Group"
Roivant Sciences,$7 ,11/13/18,Switzerland,Biotechnology,"SoftBankGroup, Founders Fund"
